symbol,added_date
1514.TW,2026-02-01
1519.TW,2026-02-01
2301.TW,2026-02-01
2308.TW,2026-02-01
2342.TW,2026-02-01
2371.TW,2026-02-01
2408.TW,2026-02-01
2441.TW,2026-02-01
2449.TW,2026-02-01
2481.TW,2026-02-01
3016.TW,2026-02-01
3017.TW,2026-02-01
3264.TWO,2026-02-01
3265.TWO,2026-02-01
3289.TWO,2026-02-01
3324.TWO,2026-02-01
3587.TWO,2026-02-01
3653.TW,2026-02-01
3663.TWO,2026-02-01
3707.TWO,2026-02-01
3711.TW,2026-02-01
4563.TWO,2026-02-01
4931.TWO,2026-02-01
5309.TWO,2026-02-01
5347.TWO,2026-02-01
5381.TWO,2026-02-01
6223.TWO,2026-02-01
6239.TW,2026-02-01
6257.TW,2026-02-01
6282.TW,2026-02-01
6435.TWO,2026-02-01
6488.TWO,2026-02-01
6510.TWO,2026-02-01
6515.TW,2026-02-01
6525.TW,2026-02-01
6761.TWO,2026-02-01
6770.TW,2026-02-01
6781.TW,2026-02-01
6830.TW,2026-02-01
8996.TW,2026-02-01
